id,orden,x,y,chm_m,estrato,peso_m2,bloque
v0253,32,559969.5,4673223.5,5.130000114440918,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0377,33,549995.5,4678929.5,30.5,"[20,inf)",2768.07,PNOA-2024-GAL-549-4679-H29-NPC01
v0324,34,559531.5,4673733.5,13.34000015258789,"[10,20)",3579.04,PNOA-2024-GAL-559-4674-H29-NPC01
v0004,35,549233.5,4678055.5,0.12999999523162842,"[0,0.5)",7263.62,PNOA-2024-GAL-549-4679-H29-NPC01
v0205,36,562843.5,4667577.5,2.559999942779541,"[2.5,4)",1354.65,PNOA-2024-GAL-562-4668-H29-NPC01
v0118,37,562933.5,4667499.5,1.7799999713897705,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0384,38,559259.5,4673956.5,30.139999389648438,"[20,inf)",2768.07,PNOA-2024-GAL-559-4674-H29-NPC01
v0080,39,549215.5,4678600.5,1.2599999904632568,"[0.5,1.5)",2080.2,PNOA-2024-GAL-549-4679-H29-NPC01
v0368,40,562105.5,4667813.5,14.079999923706055,"[10,20)",3579.04,PNOA-2024-GAL-562-4668-H29-NPC01
v0157,41,559831.5,4673404.5,2.859999895095825,"[2.5,4)",1354.65,PNOA-2024-GAL-559-4674-H29-NPC01
v0159,42,559849.5,4673394.5,2.7799999713897705,"[2.5,4)",1354.65,PNOA-2024-GAL-559-4674-H29-NPC01
v0029,43,559033.5,4673464.5,0.23999999463558197,"[0,0.5)",7263.62,PNOA-2024-GAL-559-4674-H29-NPC01
v0038,44,562550.5,4667286.5,0.2800000011920929,"[0,0.5)",7263.62,PNOA-2024-GAL-562-4668-H29-NPC01
v0008,45,559320.5,4673921.5,0.23000000417232513,"[0,0.5)",7263.62,PNOA-2024-GAL-559-4674-H29-NPC01
v0090,46,562703.5,4667495.5,2.2799999713897705,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0291,47,562166.5,4667817.5,7.400000095367432,"[6,10)",1948.38,PNOA-2024-GAL-562-4668-H29-NPC01
v0190,48,559576.5,4673750.5,3.130000114440918,"[2.5,4)",1354.65,PNOA-2024-GAL-559-4674-H29-NPC01
v0036,49,562440.5,4667850.5,0.23000000417232513,"[0,0.5)",7263.62,PNOA-2024-GAL-562-4668-H29-NPC01
v0301,50,549355.5,4678694.5,7.139999866485596,"[6,10)",1948.38,PNOA-2024-GAL-549-4679-H29-NPC01
v0178,51,559101.5,4673729.5,2.819999933242798,"[2.5,4)",1354.65,PNOA-2024-GAL-559-4674-H29-NPC01
v0019,52,549220.5,4678969.5,0.17000000178813934,"[0,0.5)",7263.62,PNOA-2024-GAL-549-4679-H29-NPC01
v0201,53,562741.5,4667803.5,2.619999885559082,"[2.5,4)",1354.65,PNOA-2024-GAL-562-4668-H29-NPC01
v0379,54,559849.5,4673231.5,22.450000762939453,"[20,inf)",2768.07,PNOA-2024-GAL-559-4674-H29-NPC01
v0396,55,559220.5,4673278.5,25.670000076293945,"[20,inf)",2768.07,PNOA-2024-GAL-559-4674-H29-NPC01
v0059,56,549581.5,4678307.5,0.6100000143051147,"[0.5,1.5)",2080.2,PNOA-2024-GAL-549-4679-H29-NPC01
v0317,57,559988.5,4673553.5,9.720000267028809,"[6,10)",1948.38,PNOA-2024-GAL-559-4674-H29-NPC01
v0289,58,549344.5,4678994.5,9.180000305175781,"[6,10)",1948.38,PNOA-2024-GAL-549-4679-H29-NPC01
v0364,59,549272.5,4678913.5,15.130000114440918,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01
v0238,60,562097.5,4667261.5,4.519999980926514,"[4,6)",1104.4,PNOA-2024-GAL-562-4668-H29-NPC01
v0351,61,549871.5,4678058.5,19.690000534057617,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01
v0031,62,559600.5,4673530.5,0.07999999821186066,"[0,0.5)",7263.62,PNOA-2024-GAL-559-4674-H29-NPC01
v0096,63,559877.5,4673282.5,2.2200000286102295,"[1.5,2.5)",2354.22,PNOA-2024-GAL-559-4674-H29-NPC01
v0344,64,559970.5,4673806.5,16.889999389648438,"[10,20)",3579.04,PNOA-2024-GAL-559-4674-H29-NPC01
v0393,65,559910.5,4673033.5,38.709999084472656,"[20,inf)",2768.07,PNOA-2024-GAL-559-4674-H29-NPC01
v0034,66,562470.5,4667635.5,0.07000000029802322,"[0,0.5)",7263.62,PNOA-2024-GAL-562-4668-H29-NPC01
v0374,67,562048.5,4667596.5,21.219999313354492,"[20,inf)",2768.07,PNOA-2024-GAL-562-4668-H29-NPC01
v0180,68,559693.5,4673417.5,2.9100000858306885,"[2.5,4)",1354.65,PNOA-2024-GAL-559-4674-H29-NPC01
v0105,69,562815.5,4667447.5,2.2799999713897705,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
