x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
550249.5,4672976.5,15.29,11.69,334,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550752.5,4672507.5,15.57,11.71,166,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550779.5,4672486.5,15.6,12.28,89,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550592.5,4672308.5,15.49,12.18,84,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550621.5,4672260.5,15.49,11.34,215,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550583.5,4672300.5,15.71,12.35,119,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550376.5,4672461.5,15.18,11.4,390,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550576.5,4672836.5,15.44,10.43,378,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550573.5,4672295.5,15.75,11.32,99,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550709.5,4672234.5,15.2,9.77,199,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550743.5,4672511.5,15.23,12.14,124,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550582.5,4672802.5,15.0,10.99,221,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550580.5,4672329.5,15.49,10.74,73,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550696.5,4672482.5,15.12,9.98,194,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550012.5,4672739.5,14.88,12.82,75,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550554.5,4672318.5,15.14,10.81,244,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550365.5,4672460.5,14.9,10.82,434,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
