x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
525602.5,4689247.5,25.54,21.9,55,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525598.5,4689244.5,24.61,21.12,171,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525573.5,4689235.5,24.64,16.6,521,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525657.5,4689271.5,23.0,16.54,234,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525682.5,4689270.5,22.74,19.33,99,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525572.5,4689245.5,22.13,19.64,92,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525729.5,4689009.5,19.11,13.24,274,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525730.5,4689021.5,19.24,12.61,383,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525663.5,4689251.5,18.46,12.84,153,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525499.5,4689213.5,19.02,11.05,139,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525089.5,4689086.5,19.22,11.94,34,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525748.5,4689027.5,17.37,11.61,114,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525649.5,4689014.5,17.96,12.67,285,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525627.5,4689321.5,17.02,12.14,98,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525519.5,4689210.5,17.53,11.54,124,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525655.5,4689017.5,16.82,12.07,91,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525518.5,4689214.5,15.63,11.24,79,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525651.5,4689021.5,15.7,12.54,56,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525298.5,4689351.5,15.94,10.56,186,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525658.5,4689026.5,14.96,10.71,176,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525284.5,4689308.5,15.43,10.57,355,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525293.5,4689314.5,14.96,10.1,281,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525602.5,4689404.5,15.32,10.69,111,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525589.5,4689367.5,15.09,11.78,67,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525647.5,4689036.5,15.36,10.04,178,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525320.5,4689313.5,15.18,11.41,108,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525317.5,4689320.5,15.38,9.47,173,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525512.5,4689211.5,14.17,9.95,111,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525452.5,4689542.5,15.05,10.95,50,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525306.5,4689332.5,14.28,10.39,113,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525051.5,4689033.5,13.98,9.53,322,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525327.5,4689309.5,13.74,8.94,162,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525303.5,4689336.5,14.45,10.0,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525526.5,4689202.5,13.91,10.54,68,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525169.5,4689412.5,13.51,10.06,143,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525306.5,4689327.5,13.09,9.42,139,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525621.5,4689399.5,13.27,9.96,75,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525818.5,4689006.5,13.53,9.18,106,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525525.5,4689207.5,13.31,10.09,144,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525583.5,4689134.5,13.27,8.47,232,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525603.5,4689206.5,13.43,9.16,146,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525630.5,4689024.5,12.85,10.57,101,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525282.5,4689380.5,13.24,9.14,190,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525534.5,4689198.5,12.75,9.44,94,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525755.5,4689021.5,12.9,8.51,133,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525429.5,4689232.5,12.64,9.38,124,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
