x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
550726.5,4669553.5,6.5,5.95,16,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.0427,0.0985,0.8588
550875.5,4669284.5,7.07,6.64,5,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5137,0.0701,0.4162
550677.5,4669566.5,6.9,5.99,11,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1586,0.3711,0.4703
550655.5,4669362.5,7.04,6.63,4,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2818,0.0486,0.6696
550539.5,4669296.5,6.75,6.26,7,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3613,0.0431,0.5956
550699.5,4669310.5,7.17,6.41,5,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.0681,0.0483,0.8836
550524.5,4669330.5,6.4,6.08,4,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.4312,0.0648,0.504
550690.5,4669329.5,6.46,6.14,4,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2265,0.0813,0.6922
550472.5,4672157.5,26.52,18.55,333,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.1228,0.7887,0.0885
550448.5,4672149.5,26.1,18.69,437,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0294,0.248,0.7226
550156.5,4672655.5,25.25,18.47,377,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0886,0.8801,0.0313
550132.5,4672662.5,23.63,20.78,83,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0742,0.3637,0.5621
550122.5,4672656.5,23.03,17.33,438,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.1586,0.5868,0.2546
550118.5,4672676.5,22.88,21.07,70,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0799,0.2517,0.6683
550120.5,4672687.5,23.29,17.2,130,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.081,0.5489,0.37
550130.5,4672670.5,22.98,19.58,91,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0359,0.3994,0.5647
550149.5,4672664.5,22.51,18.51,257,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0528,0.8409,0.1063
550446.5,4672161.5,22.42,14.26,367,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.1158,0.4742,0.41
550483.5,4672142.5,21.78,18.12,353,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0117,0.823,0.1653
550137.5,4672656.5,21.6,17.74,121,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.116,0.2878,0.5961
550472.5,4672135.5,21.25,15.6,688,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0307,0.1819,0.7874
550454.5,4672153.5,21.34,17.51,114,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0687,0.4267,0.5046
550445.5,4672170.5,21.34,11.83,250,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.1147,0.6121,0.2732
550455.5,4672143.5,20.92,19.94,68,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.1458,0.2518,0.6024
550462.5,4672137.5,20.94,19.39,98,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.032,0.0611,0.9069
550137.5,4672685.5,21.54,17.78,160,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.1802,0.7094,0.1104
550457.5,4672137.5,20.8,16.76,190,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.06,0.0997,0.8403
