x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
525571.5,4688718.5,6.9,6.13,25,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4782,0.1196,0.4022
525842.5,4688116.5,6.49,6.1,21,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.3537,0.3579,0.2884
525889.5,4688052.5,6.56,6.09,15,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1834,0.2304,0.5862
525454.5,4688847.5,6.57,6.17,13,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2535,0.3326,0.4139
525716.5,4688833.5,6.7,6.47,7,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4763,0.4187,0.105
525297.5,4688830.5,6.54,6.1,16,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.0925,0.4914,0.4161
525881.5,4688051.5,6.39,6.18,9,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,0,0.1541,0.6544,0.1914
525868.5,4688035.5,6.47,6.22,6,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.2185,0.2182,0.5633
525691.5,4688820.5,6.48,6.3,4,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8203,0.054,0.1257
525912.5,4688028.5,7.05,6.32,4,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.0709,0.0361,0.8931
525898.5,4688014.5,6.1,5.85,3,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1116,0.108,0.7805
525884.5,4688033.5,6.14,6.06,3,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.3779,0.0791,0.543
525617.5,4689339.5,37.42,25.19,152,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4177,0.1453,0.437
525554.5,4689376.5,30.01,16.82,234,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8579,0.0394,0.1027
525571.5,4689373.5,28.48,19.14,250,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.7975,0.0896,0.1128
