faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
nuc-31,nucleos,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4674-H29-NPC01_chm.tif,123670,12.367,12.3728,2.92,14.81,31.72,6.847,55.37,6.1208,49.49,4.8266,39.03,4.5712,36.96,3.4917,28.23,2.7773,22.46,0.0,0.0
nuc-46,nucleos,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4674-H29-NPC01_chm.tif,138061,13.8061,13.8052,0.29,8.56,40.43,4.1054,29.74,3.6353,26.33,2.7346,19.81,2.5088,18.17,1.5842,11.47,0.8874,6.43,0.0167,0.12
ill-6,illadas,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4674-H29-NPC01_chm.tif,84634,8.4634,8.4744,2.79,15.36,44.88,4.8189,56.94,4.1016,48.46,3.3162,39.18,3.1886,37.68,2.5411,30.02,1.9987,23.62,0.0699,0.83
ill-46,illadas,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4674-H29-NPC01_chm.tif,33700,3.37,3.3706,0.47,13.79,24.97,1.2377,36.73,1.0941,32.47,0.8494,25.2,0.7993,23.72,0.6399,18.99,0.5364,15.92,0.0,0.0
nuc-31,nucleos,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4675-H29-NPC01_chm.tif,220810,22.081,22.0815,7.87,21.69,46.11,15.0308,68.07,14.2222,64.41,12.8228,58.07,12.4966,56.59,10.9625,49.65,9.4922,42.99,0.1488,0.67
nuc-46,nucleos,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4675-H29-NPC01_chm.tif,12678,1.2678,1.2679,1.02,24.49,42.22,0.5437,42.89,0.5163,40.72,0.4711,37.16,0.4594,36.24,0.3914,30.87,0.3438,27.12,0.0317,2.5
ill-1,illadas,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4675-H29-NPC01_chm.tif,168,0.0168,0.0171,24.39,29.35,30.76,0.0162,96.43,0.0156,92.86,0.0151,89.88,0.0151,89.88,0.0145,86.31,0.0145,86.31,0.0,0.0
ill-6,illadas,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4675-H29-NPC01_chm.tif,28591,2.8591,2.8595,6.18,19.21,35.31,1.8878,66.03,1.7846,62.42,1.5805,55.28,1.5185,53.11,1.2492,43.69,1.0446,36.54,0.0009,0.03
ill-46,illadas,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4675-H29-NPC01_chm.tif,29415,2.9415,2.9429,0.34,13.27,35.31,0.8708,29.6,0.7529,25.6,0.5991,20.37,0.5639,19.17,0.4606,15.66,0.401,13.63,0.0008,0.03
nuc-46,nucleos,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4676-H29-NPC01_chm.tif,88650,8.865,8.865,0.75,13.78,38.84,3.8092,42.97,3.5031,39.52,2.8222,31.84,2.6798,30.23,2.0585,23.22,1.6016,18.07,0.0379,0.43
nuc-48,nucleos,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4676-H29-NPC01_chm.tif,83047,8.3047,8.3043,0.53,12.75,42.52,2.8966,34.88,2.6078,31.4,2.1409,25.78,2.025,24.38,1.5533,18.7,1.1989,14.44,0.0554,0.67
ill-1,illadas,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4676-H29-NPC01_chm.tif,5983,0.5983,0.5978,0.69,17.9,31.73,0.1983,33.14,0.1857,31.04,0.1643,27.46,0.1598,26.71,0.1441,24.08,0.1307,21.85,0.0,0.0
ill-46,illadas,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4676-H29-NPC01_chm.tif,29413,2.9413,2.9428,4.6,22.73,33.51,1.5944,54.21,1.5476,52.62,1.4512,49.34,1.4248,48.44,1.3123,44.62,1.1969,40.69,0.0,0.0
nuc-48,nucleos,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4677-H29-NPC01_chm.tif,148473,14.8473,14.8472,0.53,12.2,32.91,5.4082,36.43,4.9289,33.2,4.2036,28.31,4.0418,27.22,3.1557,21.25,2.3421,15.77,0.0,0.0
ill-1,illadas,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4677-H29-NPC01_chm.tif,17353,1.7353,1.7357,0.4,9.84,22.41,0.5851,33.72,0.5209,30.02,0.4049,23.33,0.3724,21.46,0.25,14.41,0.1673,9.64,0.0,0.0
nuc-48,nucleos,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4678-H29-NPC01_chm.tif,50047,5.0047,5.006,6.49,15.57,38.98,3.6766,73.46,3.4376,68.69,2.9149,58.24,2.7764,55.48,2.0497,40.96,1.439,28.75,0.0113,0.23
ill-1,illadas,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4678-H29-NPC01_chm.tif,4330,0.433,0.4319,3.79,12.95,17.65,0.3028,69.93,0.2553,58.96,0.1712,39.54,0.1582,36.54,0.1161,26.81,0.0856,19.77,0.0,0.0
nuc-48,nucleos,A Cañiza,Petán (San Xián),3600908.0,PNOA-2024-GAL-559-4679-H29-NPC01_chm.tif,13868,1.3868,1.388,4.57,12.55,19.41,0.831,59.92,0.7901,56.97,0.6555,47.27,0.6212,44.79,0.4401,31.73,0.2793,20.14,0.0,0.0
