concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Oia,Burgueira (San Pedro),3603601.0,60.627,20.219,18.312,15.699,15.098,12.326,10.328,0.34,33.35,30.2,25.89,24.9,20.33,17.03,0.56
A Estrada,Souto (Santo André),3601744.0,55.897,21.489,19.39,15.81,15.051,11.946,9.838,0.156,38.44,34.69,28.28,26.93,21.37,17.6,0.28
Oia,Loureza (San Mamede),3603602.0,44.162,19.504,17.72,15.507,15.025,12.755,11.06,0.185,44.17,40.13,35.11,34.02,28.88,25.04,0.42
Portas,Briallos (San Cristovo),3604001.0,63.772,28.283,18.933,15.552,14.967,12.525,10.662,0.131,44.35,29.69,24.39,23.47,19.64,16.72,0.2
Ribadumia,Ribadumia (Santa Baia),3604606.0,131.295,66.919,21.85,15.798,14.96,11.493,9.363,0.027,50.97,16.64,12.03,11.39,8.75,7.13,0.02
Lalín,Gresande (Santiago),3602425.0,53.307,19.04,17.107,15.3,14.856,12.946,11.561,0.017,35.72,32.09,28.7,27.87,24.29,21.69,0.03
Silleda,Abades (Santa María),3605201.0,51.71,20.749,18.734,15.512,14.855,12.183,10.48,0.039,40.13,36.23,30.0,28.73,23.56,20.27,0.08
Arbo,Sela (Santa María),3600106.0,46.739,27.409,19.635,15.466,14.76,11.821,9.964,0.047,58.64,42.01,33.09,31.58,25.29,21.32,0.1
A Estrada,Couso (Santa María),3601717.0,48.015,20.986,17.714,15.283,14.745,12.134,10.208,0.02,43.71,36.89,31.83,30.71,25.27,21.26,0.04
A Estrada,Lagartóns (Santo Estevo),3601722.0,47.532,19.643,17.276,15.069,14.721,13.137,11.837,0.0,41.33,36.35,31.7,30.97,27.64,24.9,0.0
Ponte Caldelas,Xustáns (San Martiño),3604306.0,64.742,23.956,20.323,15.698,14.702,10.57,7.879,0.236,37.0,31.39,24.25,22.71,16.33,12.17,0.36
Forcarei,Dúas Igrexas (Santa María),3601803.0,57.584,18.563,17.351,15.154,14.623,11.77,9.415,0.002,32.24,30.13,26.32,25.39,20.44,16.35,0.0
Forcarei,Santa Mariña de Presqueiras (Santa Mariña),3601811.0,30.384,18.299,17.25,15.122,14.61,12.092,10.074,0.018,60.23,56.77,49.77,48.09,39.8,33.16,0.06
Lalín,Zobra (Santa Mariña),3602448.0,42.327,19.734,17.965,15.196,14.578,11.781,9.632,0.002,46.62,42.44,35.9,34.44,27.83,22.76,0.0
Oia,Pedornes (San Mamede),3603605.0,33.282,18.338,16.889,14.899,14.513,12.815,11.563,0.004,55.1,50.74,44.77,43.61,38.5,34.74,0.01
Campo Lameiro,Moimenta (Santa María),3600706.0,45.434,20.529,17.992,15.019,14.366,11.541,9.47,0.15,45.18,39.6,33.06,31.62,25.4,20.84,0.33
Lalín,Castro de Cabras (San Pedro),3602413.0,80.655,21.688,18.293,14.956,14.358,11.612,9.257,0.0,26.89,22.68,18.54,17.8,14.4,11.48,0.0
Ponteareas,Arnoso (San Lourenzo),3604204.0,37.622,20.153,17.531,14.81,14.274,12.071,10.715,0.159,53.57,46.6,39.36,37.94,32.08,28.48,0.42
Silleda,Moalde (San Mamede),3605219.0,66.203,20.426,18.403,15.001,14.248,11.392,9.3,0.054,30.85,27.8,22.66,21.52,17.21,14.05,0.08
Cerdedo,Quireza (San Tomé),3690214.0,56.211,20.606,18.406,14.974,14.243,11.085,8.93,0.03,36.66,32.75,26.64,25.34,19.72,15.89,0.05
As Neves,Santiago de Ribarteme (Santiago),3603408.0,51.245,28.214,19.038,15.025,14.233,11.723,9.761,0.0,55.06,37.15,29.32,27.77,22.88,19.05,0.0
Marín,O Campo (Santa María),3602602.0,30.746,18.465,16.829,14.587,14.184,12.544,11.415,0.555,60.06,54.74,47.44,46.13,40.8,37.13,1.8
As Neves,As Neves (Santa María),3603405.0,52.285,27.175,20.309,15.119,14.146,10.889,8.828,0.016,51.98,38.84,28.92,27.06,20.83,16.88,0.03
Arbo,Barcela (San Xoán),3600102.0,59.598,33.396,18.43,14.641,14.047,12.013,10.939,0.186,56.03,30.92,24.57,23.57,20.16,18.35,0.31
Moaña,Meira (Santa Eulalia),3602902.0,56.865,27.738,22.16,15.24,13.968,9.658,7.332,0.275,48.78,38.97,26.8,24.56,16.98,12.89,0.48
