concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Agolada,Val de Sangorza (Santa María),3602023.0,15.661,4.8,4.446,3.912,3.781,3.127,2.57,0.0,30.65,28.39,24.98,24.14,19.97,16.41,0.0
Vilagarcía de Arousa,Vilagarcía (Santa Baia),3606012.0,26.836,6.686,5.548,4.009,3.745,2.411,1.591,0.02,24.91,20.67,14.94,13.95,8.98,5.93,0.07
Agolada,Órrea (Santo André),3602017.0,9.789,4.294,4.088,3.795,3.739,3.443,3.169,0.015,43.87,41.77,38.77,38.19,35.18,32.38,0.16
Lalín,Albarellos (Santa María),3602401.0,12.752,5.362,4.231,3.787,3.725,3.481,3.26,0.0,42.05,33.18,29.7,29.21,27.3,25.56,0.0
Lalín,Alemparte (Santa María),3602402.0,15.002,4.676,4.307,3.728,3.615,3.049,2.556,0.0,31.17,28.71,24.85,24.09,20.33,17.03,0.0
A Estrada,Sabucedo (San Lourenzo),3601741.0,10.739,4.953,4.437,3.715,3.602,3.149,2.78,0.033,46.12,41.31,34.59,33.55,29.32,25.88,0.31
Silleda,Xestoso (Santa María),3605233.0,16.386,5.159,4.695,3.763,3.48,2.48,1.787,0.0,31.49,28.65,22.96,21.23,15.14,10.9,0.0
Moraña,Cosoirado (Santa María),3603202.0,7.936,4.574,3.944,3.511,3.435,3.023,2.652,0.009,57.63,49.7,44.24,43.28,38.09,33.42,0.12
Agolada,Merlín (San Pedro),3602016.0,10.987,3.948,3.768,3.363,3.249,2.683,2.235,0.0,35.94,34.29,30.61,29.57,24.42,20.34,0.0
Agolada,Agra (San Miguel),3602001.0,14.519,4.252,3.987,3.398,3.241,2.538,2.089,0.11,29.29,27.46,23.41,22.33,17.48,14.39,0.76
Agolada,Vilariño (Santa María),3602025.0,18.08,4.265,3.951,3.337,3.195,2.627,2.139,0.0,23.59,21.85,18.46,17.67,14.53,11.83,0.0
Agolada,Basadre (Santa María),3602006.0,12.811,4.027,3.777,3.304,3.187,2.561,2.003,0.0,31.44,29.48,25.79,24.88,19.99,15.64,0.0
Cangas,Cangas (Santiago e San Salvador),3600802.0,9.65,5.219,4.195,2.937,2.724,1.682,1.124,0.174,54.08,43.47,30.43,28.22,17.43,11.65,1.8
Agolada,Ramil (San Martiño),3602018.0,6.657,2.719,2.646,2.494,2.446,2.155,1.843,0.0,40.85,39.75,37.47,36.75,32.37,27.69,0.0
Pazos de Borbén,Cepeda (San Pedro),3603703.0,17.627,4.966,3.843,2.559,2.376,1.615,1.129,0.0,28.17,21.8,14.52,13.48,9.16,6.4,0.0
Cambados,Cambados (Santa Mariña),3600601.0,26.465,13.931,4.716,2.565,2.327,1.481,0.959,0.059,52.64,17.82,9.69,8.79,5.6,3.62,0.22
Vilagarcía de Arousa,Fontecarmoa (San Pedro),3606006.0,7.495,3.946,2.901,2.23,2.097,1.528,1.15,0.013,52.65,38.71,29.75,27.97,20.39,15.35,0.17
Tui,Tui (O Sagrario),3605512.0,6.054,3.196,2.678,2.152,2.044,1.569,1.364,0.029,52.8,44.23,35.54,33.77,25.91,22.52,0.49
Agolada,Sesto (San Cibrao),3602021.0,7.83,2.516,2.382,1.908,1.818,1.428,1.176,0.0,32.13,30.42,24.37,23.22,18.24,15.02,0.0
Agolada,O Sexo (Santiago),3602020.0,7.402,2.357,2.155,1.818,1.737,1.366,0.994,0.0,31.84,29.12,24.56,23.47,18.46,13.43,0.0
Lalín,Sello (Santiago),3602442.0,14.513,1.791,1.704,1.529,1.472,1.164,0.938,0.0,12.34,11.74,10.53,10.14,8.02,6.46,0.0
Agolada,Carmoega (San Pedro),3602011.0,6.259,1.457,1.354,1.148,1.092,0.816,0.555,0.0,23.28,21.64,18.34,17.44,13.03,8.87,0.0
Agolada,Gurgueiro (San Miguel),3602015.0,5.512,1.427,1.302,1.101,1.056,0.794,0.657,0.0,25.89,23.62,19.98,19.16,14.41,11.92,0.0
Agolada,Esperante (San Cibrao),3602013.0,14.238,1.629,1.425,1.073,1.009,0.775,0.642,0.0,11.44,10.01,7.53,7.09,5.45,4.51,0.0
Agolada,San Paio de Bais (San Paio),3602004.0,4.276,0.891,0.777,0.599,0.556,0.399,0.262,0.0,20.83,18.17,14.01,13.0,9.34,6.13,0.0
Marín,Marín (Santa María do Porto),3602604.0,0.571,0.215,0.13,0.063,0.056,0.028,0.014,0.0,37.59,22.82,11.02,9.74,4.85,2.43,0.0
