OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
86564,Eucalyptus_globulus,True,3452,6.646,persistente,,0.038,ifn_2010
86565,Quercus_robur,False,3928,9.375,persistente,,0.016,ifn_2010
86566,Pinus_pinaster,True,2036,0.0,persistente,,0.066,ifn_2010
86567,Pinus_pinaster,True,641,0.0,evento,2021.0,0.191,desconocida
86568,Quercus_robur,False,244,0.0,persistente,,0.023,ifn_2010
86569,Pinus_radiata,True,488,0.0,persistente,,0.038,ifn_2010
86570,Pinus_pinaster,True,1081,0.0,persistente,,0.037,ifn_2010
86571,Pinus_pinaster,True,4750,0.231,persistente,,0.052,ifn_2010
86572,Quercus_robur,False,4080,0.0,persistente,,0.01,ifn_2010
86573,Eucalyptus_globulus,True,15394,3.978,persistente,,0.015,ifn_2010
86574,Pinus_pinaster,True,453,0.0,persistente,,0.101,ifn_2010
86575,Pinus_pinaster,True,1138,0.0,persistente,,0.114,ifn_2010
86576,Pinus_pinaster,True,513,0.0,persistente,,0.133,ifn_2010
86577,Pinus_pinaster,True,424,0.0,persistente,,0.1,ifn_2010
86578,Pinus_pinaster,True,2304,0.0,persistente,,0.037,ifn_2010
86579,Quercus_rubra,False,628,0.006,persistente,,0.019,ifn_2010
86580,Pinus_radiata,True,3640,0.0,persistente,,0.038,ifn_2010
86581,Pinus_radiata,True,5593,0.044,persistente,,0.03,ifn_2010
86582,Pinus_pinaster,True,791,0.0,persistente,,0.079,ifn_2010
86583,Quercus_robur,False,16822,7.296,persistente,,0.012,ifn_2010
86584,Pinus_radiata,True,213,0.0,persistente,,0.078,ifn_2010
86585,Pinus_radiata,True,357,0.0,persistente,,0.014,ifn_2010
86586,Pinus_radiata,True,2906,0.0,persistente,,0.025,ifn_2010
86587,Pinus_pinaster,True,547,0.0,persistente,,0.068,ifn_2010
86588,Pinus_pinaster,True,1544,0.0,persistente,,0.036,ifn_2010
86589,Pinus_radiata,True,1815,0.0,persistente,,0.039,ifn_2010
86590,Quercus_robur,False,3319,1.556,persistente,,0.013,ifn_2010
86591,Pinus_pinaster,True,988,0.0,persistente,,0.096,ifn_2010
86592,Eucalyptus_globulus,True,4704,3.16,persistente,,0.022,ifn_2010
86593,Pinus_pinaster,True,7075,8.912,persistente,,0.014,ifn_2010
86594,Quercus_robur,False,8361,7.851,persistente,,0.027,ifn_2010
86595,Pinus_pinaster,True,288,1.074,persistente,,0.035,ifn_2010
86596,Quercus_robur,False,3734,7.903,persistente,,0.015,ifn_2010
86597,Eucalyptus_globulus,True,3514,6.436,persistente,,0.015,ifn_2010
86598,Eucalyptus_globulus,True,849,3.166,persistente,,0.049,ifn_2010
86599,Eucalyptus_globulus,True,3120,0.011,persistente,,0.015,ifn_2010
86600,Pinus_pinaster,True,22575,15.709,persistente,,0.014,ifn_2010
86601,Pinus_pinaster,True,8515,3.671,persistente,,0.014,ifn_2010
86602,Pinus_pinaster,True,1867,1.28,persistente,,0.041,ifn_2010
86603,Eucalyptus_globulus,True,4030,0.693,persistente,,0.013,ifn_2010
86604,Quercus_robur,False,13751,7.295,persistente,,0.004,ifn_2010
86605,Alnus_glutinosa,False,587,0.0,persistente,,0.026,ifn_2010
86606,Pinus_pinaster,True,1495,0.0,persistente,,0.185,ifn_2010
86607,Quercus_rubra,False,275,0.0,persistente,,0.011,ifn_2010
86608,Quercus_rubra,False,1382,0.099,persistente,,0.019,ifn_2010
86609,Pinus_pinaster,True,1945,0.0,persistente,,0.066,ifn_2010
86610,Eucalyptus_globulus,True,3352,2.334,persistente,,0.008,ifn_2010
86611,Pinus_pinaster,True,1747,0.0,persistente,,0.16,ifn_2010
86612,Pinus_pinaster,True,594,0.0,persistente,,0.022,ifn_2010
86613,Eucalyptus_globulus,True,1664,0.0,persistente,,0.03,ifn_2010
86614,Pinus_pinaster,True,1106,0.499,persistente,,0.027,ifn_2010
86616,Quercus_robur,False,29763,22.643,persistente,,0.017,ifn_2010
86617,Quercus_robur,False,166,0.705,persistente,,0.014,ifn_2010
86618,Pinus_pinaster,True,6,0.0,persistente,,0.052,ifn_2010
86619,Pinus_sylvestris,True,3750,0.0,persistente,,0.032,ifn_2010
86620,Eucalyptus_globulus,True,431,0.0,evento,2019.0,0.367,prohibida_rebrote
86621,Pinus_pinaster,True,1070,0.0,persistente,,0.021,ifn_2010
86622,Pinus_pinaster,True,4915,1.294,persistente,,0.064,ifn_2010
86623,Eucalyptus_globulus,True,3189,0.173,evento,2024.0,0.237,prohibida_rebrote
86624,Pinus_pinaster,True,894,0.0,persistente,,0.019,ifn_2010
86625,Pinus_pinaster,True,3042,0.0,persistente,,0.079,ifn_2010
86626,Eucalyptus_globulus,True,583,0.0,persistente,,0.062,ifn_2010
86627,Pinus_pinaster,True,1357,0.095,persistente,,0.053,ifn_2010
86628,Pinus_pinaster,True,6296,4.613,persistente,,0.023,ifn_2010
86629,Pinus_pinaster,True,3559,2.121,persistente,,0.017,ifn_2010
86630,Pinus_pinaster,True,2011,1.317,persistente,,0.082,ifn_2010
86631,Pinus_pinaster,True,0,0.092,sin_dato,,,sin_serie
86632,Quercus_suber,False,5418,4.445,persistente,,0.018,ifn_2010
86633,Eucalyptus_globulus,True,2018,0.0,evento,2026.0,0.222,prohibida_rebrote
86634,Eucalyptus_globulus,True,5372,0.0,persistente,,0.127,ifn_2010
86635,Salix_atrocinerea,False,266,0.0,persistente,,0.019,ifn_2010
86636,Salix_atrocinerea,False,152,0.0,persistente,,0.023,ifn_2010
86637,Quercus_robur,False,213,1.089,persistente,,0.025,ifn_2010
86638,Quercus_robur,False,1125,0.0,persistente,,0.02,ifn_2010
86639,Pinus_pinaster,True,658,0.0,persistente,,0.021,ifn_2010
86640,Eucalyptus_globulus,True,3692,1.22,persistente,,0.066,ifn_2010
86641,Eucalyptus_globulus,True,1288,0.0,persistente,,0.078,ifn_2010
86642,Eucalyptus_globulus,True,427,0.0,persistente,,0.016,ifn_2010
86643,Alnus_glutinosa,False,102,0.0,persistente,,0.059,ifn_2010
86644,Pinus_pinaster,True,1255,0.0,persistente,,0.037,ifn_2010
86645,Pinus_pinaster,True,1449,0.0,persistente,,0.192,ifn_2010
86646,Pinus_pinaster,True,756,0.0,evento,2018.0,0.344,desconocida
86647,Eucalyptus_globulus,True,379,0.0,persistente,,0.018,ifn_2010
86648,Pinus_pinaster,True,103,0.0,persistente,,0.033,ifn_2010
86649,Eucalyptus_globulus,True,281,0.025,persistente,,0.005,ifn_2010
86650,Quercus_robur,False,158,0.152,persistente,,0.029,ifn_2010
86651,Quercus_robur,False,1142,2.505,persistente,,0.011,ifn_2010
86652,Quercus_robur,False,451,0.545,persistente,,0.019,ifn_2010
86653,Eucalyptus_globulus,True,103,0.424,persistente,,0.023,ifn_2010
86654,Pinus_pinaster,True,671,2.304,persistente,,0.115,ifn_2010
86655,Pinus_pinaster,True,110,0.44,persistente,,0.034,ifn_2010
86656,Pinus_pinaster,True,217,0.0,persistente,,0.02,ifn_2010
86657,Quercus_robur,False,1876,0.102,persistente,,0.02,ifn_2010
86658,Eucalyptus_globulus,True,3553,1.937,persistente,,0.016,ifn_2010
86659,Eucalyptus_globulus,True,2491,0.226,persistente,,0.016,ifn_2010
86660,Quercus_pyrenaica,False,293,0.0,persistente,,0.032,ifn_2010
86661,Quercus_robur,False,2735,1.532,persistente,,0.048,ifn_2010
86662,Quercus_robur,False,15554,1.937,persistente,,0.016,ifn_2010
86663,Pinus_pinaster,True,2684,0.0,persistente,,0.139,ifn_2010
86664,Quercus_robur,False,1230,0.0,persistente,,0.034,ifn_2010
86665,Quercus_robur,False,170,0.0,persistente,,0.013,ifn_2010
86666,Eucalyptus_globulus,True,171,0.0,persistente,,0.085,ifn_2010
86667,Quercus_robur,False,126,0.797,persistente,,0.07,ifn_2010
86668,Salix_spp,False,118,0.221,evento,2018.0,0.309,desconocida
86669,Quercus_robur,False,144,0.665,evento,2026.0,0.182,desconocida
86670,Eucalyptus_globulus,True,1393,0.895,persistente,,0.035,ifn_2010
86671,Pinus_pinaster,True,2745,0.0,persistente,,0.05,ifn_2010
86672,Betula_alba,False,1268,0.807,persistente,,0.026,ifn_2010
86673,Alnus_glutinosa,False,165,0.581,persistente,,0.019,ifn_2010
86674,Laurus_nobilis,False,108,0.0,persistente,,0.012,ifn_2010
86675,Quercus_robur,False,389,0.0,persistente,,0.021,ifn_2010
86676,Quercus_robur,False,488,0.0,persistente,,0.033,ifn_2010
86677,Quercus_robur,False,518,0.312,persistente,,0.02,ifn_2010
86678,Pinus_pinaster,True,323,0.0,persistente,,0.024,ifn_2010
86679,Quercus_robur,False,555,0.0,persistente,,0.023,ifn_2010
86680,Eucalyptus_globulus,True,164,0.0,persistente,,0.009,ifn_2010
86681,Pinus_pinaster,True,830,0.0,persistente,,0.017,ifn_2010
86682,Pinus_pinaster,True,814,0.416,persistente,,0.034,ifn_2010
86683,Quercus_robur,False,192,0.0,persistente,,0.03,ifn_2010
86684,Quercus_robur,False,1039,0.892,persistente,,0.014,ifn_2010
86685,Eucalyptus_globulus,True,2752,0.287,persistente,,0.03,ifn_2010
86686,Pinus_pinaster,True,245,0.792,persistente,,0.122,ifn_2010
86687,Quercus_rubra,False,64,0.0,persistente,,0.035,ifn_2010
86688,Pinus_pinaster,True,550,2.019,persistente,,0.092,ifn_2010
86689,Pinus_pinaster,True,1256,1.016,persistente,,0.108,ifn_2010
86690,Pinus_pinaster,True,1021,0.987,persistente,,0.096,ifn_2010
86691,Eucalyptus_globulus,True,305,0.0,persistente,,0.047,ifn_2010
86692,Eucalyptus_globulus,True,1862,3.461,persistente,,0.024,ifn_2010
86693,Pinus_pinaster,True,395,0.0,persistente,,0.041,ifn_2010
86694,Pinus_pinaster,True,887,2.905,persistente,,0.044,ifn_2010
86695,Pinus_pinaster,True,4724,0.0,persistente,,0.046,ifn_2010
86696,Pinus_pinaster,True,1216,0.0,persistente,,0.018,ifn_2010
86697,Quercus_robur,False,184,0.664,persistente,,0.035,ifn_2010
86698,Eucalyptus_globulus,True,291,1.913,persistente,,0.046,ifn_2010
86699,Quercus_robur,False,160,0.126,persistente,,0.026,ifn_2010
86700,Eucalyptus_globulus,True,981,0.0,persistente,,0.02,ifn_2010
86701,Pinus_pinaster,True,348,0.309,persistente,,0.055,ifn_2010
86702,Quercus_rubra,False,294,0.292,persistente,,0.006,ifn_2010
86703,Eucalyptus_globulus,True,3348,4.575,persistente,,0.018,ifn_2010
86704,Pinus_pinaster,True,126,0.0,persistente,,0.089,ifn_2010
86705,Eucalyptus_globulus,True,517,0.44,persistente,,0.027,ifn_2010
86706,Quercus_robur,False,119,0.0,persistente,,0.051,ifn_2010
86707,Pinus_pinaster,True,383,1.407,persistente,,0.031,ifn_2010
86709,Quercus_robur,False,846,0.0,persistente,,0.013,ifn_2010
86710,Eucalyptus_globulus,True,735,1.227,persistente,,0.041,ifn_2010
86711,Quercus_robur,False,1677,5.662,persistente,,0.017,ifn_2010
86712,Quercus_robur,False,292,0.374,persistente,,0.011,ifn_2010
86713,Eucalyptus_globulus,True,299,0.0,persistente,,0.134,ifn_2010
86718,Pinus_pinaster,True,7314,0.0,evento,2018.0,0.22,desconocida
86719,Pinus_pinaster,True,9031,0.0,persistente,,0.126,ifn_2010
86720,Pinus_pinaster,True,7071,6.124,persistente,,0.01,ifn_2010
86721,Pinus_pinaster,True,2886,0.602,persistente,,0.036,ifn_2010
86723,Pinus_pinaster,True,241,0.0,evento,2018.0,0.274,desconocida
86724,Pinus_pinaster,True,345,0.007,persistente,,0.047,ifn_2010
86725,Quercus_robur,False,901,0.772,persistente,,0.018,ifn_2010
86726,Pinus_pinaster,True,9473,0.07,evento,2020.0,0.314,desconocida
87537,Alnus_glutinosa,False,1161,0.0,persistente,,0.018,ifn_2010
95048,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
95052,Quercus_robur,False,2134,0.0,persistente,,0.042,ifn_2010
95053,Eucalyptus_globulus,True,6409,0.0,persistente,,0.146,ifn_2010
95506,Quercus_robur,False,10328,0.0,persistente,,0.039,ifn_2010
95507,Pinus_pinaster,True,878,0.0,persistente,,0.178,ifn_2010
95508,Pinus_pinaster,True,4004,0.0,persistente,,0.188,ifn_2010
95509,Eucalyptus_globulus,True,2909,0.0,persistente,,0.118,ifn_2010
95510,Eucalyptus_globulus,True,7929,0.0,evento,2018.0,0.299,prohibida_rebrote
95511,Pinus_radiata,True,2691,0.0,evento,2018.0,0.325,desconocida
95512,Pinus_pinaster,True,4619,0.0,evento,2018.0,0.293,desconocida
95513,Pinus_pinaster,True,6926,0.0,persistente,,0.189,ifn_2010
95514,Quercus_robur,False,1045,0.0,persistente,,0.182,ifn_2010
95515,Pinus_pinaster,True,2378,0.0,persistente,,0.162,ifn_2010
95538,Alnus_glutinosa,False,3989,0.929,persistente,,0.025,ifn_2010
95539,Quercus_robur,False,543,0.0,persistente,,0.018,ifn_2010
95540,Quercus_robur,False,5814,0.0,persistente,,0.026,ifn_2010
95541,Quercus_robur,False,21906,2.126,persistente,,0.028,ifn_2010
95542,Pinus_pinaster,True,302,0.0,evento,2023.0,0.225,desconocida
95543,Pinus_pinaster,True,1151,0.0,persistente,,0.105,ifn_2010
95544,Eucalyptus_globulus,True,1470,0.0,persistente,,0.035,ifn_2010
95545,Pinus_pinaster,True,2046,0.0,persistente,,0.119,ifn_2010
95546,Eucalyptus_globulus,True,13546,0.0,persistente,,0.026,ifn_2010
95547,Quercus_robur,False,1958,0.0,persistente,,0.014,ifn_2010
95548,Quercus_robur,False,8257,3.528,persistente,,0.02,ifn_2010
95549,Quercus_robur,False,2270,0.254,persistente,,0.022,ifn_2010
95550,Eucalyptus_globulus,True,5151,0.0,evento,2021.0,0.342,prohibida_rebrote
95551,Pinus_pinaster,True,25331,0.0,persistente,,0.054,ifn_2010
95552,Quercus_robur,False,14370,7.258,persistente,,0.016,ifn_2010
95553,Quercus_robur,False,3112,0.0,persistente,,0.016,ifn_2010
95554,Eucalyptus_globulus,True,1419,0.0,persistente,,0.18,ifn_2010
95555,Pinus_pinaster,True,3717,0.0,persistente,,0.019,ifn_2010
95556,Pinus_pinaster,True,5512,0.0,persistente,,0.012,ifn_2010
95557,Pinus_pinaster,True,7030,0.0,persistente,,0.018,ifn_2010
95558,Quercus_robur,False,14112,0.0,persistente,,0.016,ifn_2010
95559,Quercus_robur,False,7788,2.652,persistente,,0.031,ifn_2010
95566,Pinus_pinaster,True,1316,0.0,persistente,,0.151,ifn_2010
95570,Quercus_robur,False,564,1.769,persistente,,0.025,ifn_2010
