puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
139,Crecente,Vilar (San Xorxe),66.483,26.127,0.871,12.7,19.2,16.0
140,Poio,Poio (San Salvador),81.063,25.442,0.159,11.7,20.2,16.0
141,Sanxenxo,Nantes (Santa Baia),99.5,26.724,0.606,11.7,19.9,15.8
142,Arbo,Arbo (Santa María),143.409,31.863,0.425,11.0,20.7,15.8
143,Silleda,Silleda (Santa Baia),150.387,48.642,0.653,8.4,23.0,15.7
144,Caldas de Reis,Arcos da Condesa (Santa Mariña),82.376,23.032,0.674,13.5,17.9,15.7
145,Mondariz,Sabaxáns (San Mamede),99.1,49.873,0.384,13.8,17.5,15.6
146,Tomiño,San Salvador de Tebra (San Salvador),38.829,22.296,2.553,13.2,18.0,15.6
147,Ponteareas,Bugarín (Santa Cristina),64.485,22.356,0.196,13.9,17.1,15.5
148,Gondomar,Vilaza (Santa María),69.766,25.531,0.54,11.9,19.1,15.5
149,A Estrada,Arnois (San Xiao),94.776,31.144,0.069,10.9,20.1,15.5
150,Redondela,Trasmañó (San Vicente),84.542,28.857,0.25,10.3,20.4,15.4
151,Vilagarcía de Arousa,Rubiáns (Santa María),90.583,27.059,0.839,9.8,20.8,15.3
152,Catoira,Abalo (San Mamede),65.943,23.381,0.143,11.9,18.4,15.2
153,Cerdedo,Cerdedo (San Xoán),98.311,38.522,0.215,12.2,18.3,15.2
154,Crecente,Filgueira (San Pedro),49.472,37.832,0.889,11.8,18.4,15.1
155,A Estrada,Matalobos (Santa Baia),116.29,36.283,0.259,9.2,20.8,15.0
156,Tui,Guillarei (San Mamede),98.978,29.658,1.256,9.0,21.0,15.0
157,Caldas de Reis,San Clemente de Cesar (San Clemente),97.804,25.538,0.481,11.5,18.1,14.8
158,Sanxenxo,Padriñán (San Xenxo),84.139,24.609,0.231,10.9,18.7,14.8
159,Cotobade,Borela (San Martiño),68.403,37.673,0.079,11.6,17.6,14.6
160,Vilaboa,Santa Comba de Bértola (Santa Comba),66.598,22.298,1.022,12.7,16.6,14.6
161,A Estrada,A Estrada (San Paio),99.664,33.666,0.644,9.1,19.9,14.5
162,Ponte Caldelas,A Insua (Santa Mariña),114.709,31.665,0.112,11.1,17.8,14.4
163,Barro,Portela (San Mamede),73.073,22.541,1.343,11.4,17.2,14.3
164,Covelo,Covelo (Santa Mariña),65.216,35.172,0.729,11.2,17.1,14.2
165,Mos,Pereiras (San Miguel),71.782,24.12,1.72,10.0,18.4,14.2
166,Mos,Guizán (Santa María),62.844,20.62,0.927,12.8,15.7,14.2
167,Lalín,Lalín (Santa María das Dores),137.994,47.379,0.075,6.6,21.8,14.2
168,Gondomar,Borreiros (San Martiño),73.482,25.032,0.287,9.9,18.4,14.2
169,A Estrada,Codeseda (San Xurxo),128.001,38.581,0.067,9.0,19.3,14.2
170,Vilagarcía de Arousa,Cornazo (San Pedro),71.548,22.28,0.976,9.8,17.7,13.8
171,Tui,Baldráns (Santiago),51.461,22.459,0.389,10.7,16.9,13.8
172,Meaño,Dena (Santa Eulalia),172.554,25.978,0.307,8.3,19.3,13.8
173,Redondela,Saxamonde (San Román),89.966,30.658,0.937,12.1,15.4,13.8
174,Tui,Rebordáns (San Bartolomeu),71.844,27.775,0.765,9.0,18.5,13.8
