faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
ill-396,illadas,A Guarda,A Guarda (Santa María),3602302.0,PNOA-2024-GAL-509-4638-H29-NPC01_chm.tif,13725,1.3725,1.3966,0.33,1.72,8.73,0.1109,8.08,0.0682,4.97,0.0323,2.35,0.0258,1.88,0.0032,0.23,0.0,0.0,0.0,0.0
ill-224,illadas,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-509-4641-H29-NPC01_chm.tif,39969,3.9969,3.9951,0.44,3.98,22.5,0.7982,19.97,0.5585,13.97,0.2635,6.59,0.2379,5.95,0.1373,3.44,0.0789,1.97,0.0,0.0
ill-224,illadas,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-509-4642-H29-NPC01_chm.tif,98979,9.8979,9.9019,1.29,8.21,27.59,4.0346,40.76,3.1143,31.46,1.7417,17.6,1.5603,15.76,1.031,10.42,0.6724,6.79,0.0,0.0
ill-224,illadas,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-509-4643-H29-NPC01_chm.tif,8350,0.835,0.8349,0.63,5.93,8.86,0.1834,21.96,0.1591,19.05,0.1094,13.1,0.0961,11.51,0.0122,1.46,0.0,0.0,0.0,0.0
nuc-242,nucleos,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-509-4644-H29-NPC01_chm.tif,27462,2.7462,2.7456,0.49,6.75,33.37,0.5716,20.81,0.4626,16.85,0.2942,10.71,0.2839,10.34,0.2655,9.67,0.2415,8.79,0.0,0.0
ill-224,illadas,A Guarda,Salcidos (San Lourenzo),3602303.0,PNOA-2024-GAL-509-4644-H29-NPC01_chm.tif,11553,1.1553,1.156,1.33,5.16,11.7,0.4758,41.18,0.3344,28.94,0.1257,10.88,0.0943,8.16,0.0134,1.16,0.0027,0.23,0.0,0.0
ill-225,illadas,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-509-4644-H29-NPC01_chm.tif,817,0.0817,0.0819,0.3,3.13,6.36,0.0148,18.12,0.0089,10.89,0.0023,2.82,0.0013,1.59,0.0,0.0,0.0,0.0,0.0,0.0
nuc-242,nucleos,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-509-4645-H29-NPC01_chm.tif,90642,9.0642,9.0717,0.86,15.79,27.0,2.8134,31.04,2.1894,24.15,1.6743,18.47,1.6255,17.93,1.5093,16.65,1.4156,15.62,0.0,0.0
nuc-54,nucleos,Oia,Oia (Santa María),3603604.0,PNOA-2024-GAL-509-4646-H29-NPC01_chm.tif,18379,1.8379,1.8379,0.41,6.07,17.77,0.4351,23.67,0.3346,18.21,0.2185,11.89,0.1969,10.71,0.1592,8.66,0.1266,6.89,0.0,0.0
nuc-242,nucleos,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-509-4646-H29-NPC01_chm.tif,25680,2.568,2.5675,2.44,21.42,34.87,1.3707,53.38,1.2079,47.04,0.9876,38.46,0.9535,37.13,0.8001,31.16,0.6682,26.02,0.0,0.0
