concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Mondariz,Mouriscados (San Cibrán),65.141,30.764,21.11,17.663,9.654,24.637,47.23,27.11,37.82
Catoira,Dimo (San Pedro),107.494,33.678,20.764,17.651,12.914,26.981,31.33,16.42,25.1
Crecente,Vilar (San Xorxe),66.483,26.127,20.41,17.601,5.717,21.732,39.3,26.48,32.69
Salvaterra de Miño,Lira (San Simón),68.698,35.147,24.995,17.591,10.152,24.925,51.16,25.61,36.28
A Estrada,Guimarei (San Xiao),132.814,34.409,24.511,17.545,9.898,24.695,25.91,13.21,18.59
A Estrada,San Miguel de Castro (San Miguel),99.581,36.843,21.036,17.534,15.808,28.954,37.0,17.61,29.08
Vilanova de Arousa,Tremoedo (Santo Estevo),137.983,25.367,18.698,17.4,6.669,22.218,18.38,12.61,16.1
Cuntis,Troáns (Santa María),120.558,31.095,20.014,17.265,11.081,25.27,25.79,14.32,20.96
Tui,Randufe (Santa María da Guía),88.898,26.804,17.649,17.215,9.155,23.829,30.15,19.37,26.8
Campo Lameiro,O Campo (San Miguel),79.005,30.925,20.187,17.178,10.738,24.934,39.14,21.74,31.56
Ponte Caldelas,Tourón (Santa María),124.271,35.354,20.42,17.147,14.935,27.936,28.45,13.8,22.48
Barro,Perdecanai (Santa María),69.754,29.188,19.821,17.088,9.367,23.854,41.84,24.5,34.2
Tui,Malvas (Santiago),69.044,25.559,16.839,16.839,8.72,23.138,37.02,24.39,33.51
Vilagarcía de Arousa,Bamio (San Xens),107.124,32.148,17.554,16.792,14.595,27.335,30.01,15.68,25.52
Catoira,Abalo (San Mamede),65.943,23.381,17.534,16.518,5.847,20.742,35.46,25.05,31.45
Gondomar,Vilaza (Santa María),69.766,25.531,18.622,16.495,6.909,21.486,36.6,23.64,30.8
A Guarda,Salcidos (San Lourenzo),119.692,31.765,19.273,16.489,12.492,25.514,26.54,13.78,21.32
Cambados,Castrelo (Santa Cruz),225.13,26.169,16.586,16.351,9.583,23.273,11.62,7.26,10.34
Crecente,Filgueira (San Pedro),49.472,37.832,31.746,16.342,6.086,20.738,76.47,33.03,41.92
Poio,Poio (San Salvador),81.063,25.442,16.565,16.275,8.877,22.688,31.39,20.08,27.99
Sanxenxo,Nantes (Santa Baia),99.464,26.724,18.297,16.248,8.427,22.336,26.87,16.34,22.46
A Lama,Gaxate (San Pedro),43.234,30.32,27.787,16.171,2.532,18.0,70.13,37.4,41.63
Redondela,Vilar de Infesta (San Martiño),106.006,33.362,17.941,16.125,15.421,27.265,31.47,15.21,25.72
A Cañiza,Petán (San Xián),123.143,45.186,30.064,16.111,15.122,27.035,36.69,13.08,21.95
Caldas de Reis,San Clemente de Cesar (San Clemente),97.592,25.538,19.412,15.975,6.126,20.4,26.17,16.37,20.9
A Estrada,Berres (San Vicenzo),107.056,40.346,24.735,15.836,15.611,27.113,37.69,14.79,25.33
