concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Vilaboa,Santa Cristina de Cobres (Santa Cristina),82.704,33.64,21.296,23.871,12.344,24.418,40.67,28.86,29.52
Caldas de Reis,Bemil (Santa María),127.935,33.655,21.729,19.488,11.926,28.103,26.31,15.23,21.97
Caldas de Reis,Godos (Santa María),111.06,31.74,20.529,20.1,11.211,27.727,28.58,18.1,24.97
Salvaterra de Miño,Cabreira (San Miguel),77.486,36.403,26.057,19.43,10.346,26.903,46.98,25.08,34.72
Redondela,Chapela (San Fausto),95.343,39.212,25.972,19.397,13.24,28.962,41.13,20.34,30.38
Moraña,Rebón (San Pedro),86.44,28.73,20.927,18.949,7.803,24.586,33.24,21.92,28.44
Mos,Sanguiñeda (Santa María),84.508,33.661,22.294,18.922,11.367,27.133,39.83,22.39,32.11
Mondariz,Sabaxáns (San Mamede),99.1,49.873,34.648,19.158,15.226,20.05,50.33,19.33,20.23
Salvaterra de Miño,Arantei (San Pedro),71.75,29.305,21.935,18.858,7.37,24.182,40.84,26.28,33.7
Salvaterra de Miño,Meder (Santo Adrián),114.792,33.518,20.947,18.553,12.572,27.635,29.2,16.16,24.07
Crecente,Rebordechán (Santa María),48.428,33.548,25.449,18.543,8.099,24.394,69.27,38.29,50.37
Tomiño,San Salvador de Tebra (San Salvador),38.829,22.296,19.392,18.381,2.904,20.479,57.42,47.34,52.74
Meaño,Xil (Santa Eulalia),104.381,24.527,19.317,18.374,5.21,22.138,23.5,17.6,21.21
Ponteareas,Oliveira (Santiago),71.274,32.265,21.312,22.603,10.952,26.056,45.27,31.71,36.56
Vilaboa,Cobres (Santo Adrán),91.692,31.027,18.793,21.229,12.233,24.595,33.84,23.15,26.82
Moaña,Domaio (San Pedro),106.666,45.198,21.211,18.26,23.987,35.588,42.37,17.12,33.36
Crecente,Ribeira (Santa Mariña),58.441,31.356,25.732,18.249,5.623,22.311,53.65,31.23,38.18
Valga,Xanza (Santa María),118.036,34.554,22.316,29.751,12.238,30.1,29.27,25.21,25.5
Mondariz,Mouriscados (San Cibrán),65.141,30.764,21.11,20.319,9.654,20.911,47.23,31.19,32.1
Catoira,Dimo (San Pedro),107.494,33.678,20.764,17.651,12.914,26.981,31.33,16.42,25.1
Crecente,Vilar (San Xorxe),66.483,26.127,20.41,17.601,5.717,21.732,39.3,26.47,32.69
Salvaterra de Miño,Lira (San Simón),68.698,35.147,24.995,17.591,10.152,24.925,51.16,25.61,36.28
A Estrada,Guimarei (San Xiao),132.814,34.409,24.511,17.545,9.898,24.695,25.91,13.21,18.59
A Estrada,San Miguel de Castro (San Miguel),99.581,36.843,21.036,28.155,15.808,31.401,37.0,28.27,31.53
Vilanova de Arousa,Tremoedo (Santo Estevo),137.983,25.367,18.698,17.4,6.669,22.218,18.38,12.61,16.1
Cuntis,Troáns (Santa María),120.558,31.095,20.014,17.265,11.081,25.27,25.79,14.32,20.96
Tui,Randufe (Santa María da Guía),88.898,26.804,17.649,17.215,9.155,23.829,30.15,19.36,26.8
Campo Lameiro,O Campo (San Miguel),79.005,30.925,20.187,17.178,10.738,24.934,39.14,21.74,31.56
Ponte Caldelas,Tourón (Santa María),124.271,35.354,20.42,17.741,14.935,27.942,28.45,14.28,22.48
Barro,Perdecanai (Santa María),69.754,29.188,19.821,17.088,9.367,23.854,41.84,24.5,34.2
Tui,Malvas (Santiago),69.044,25.559,16.839,16.839,8.72,23.138,37.02,24.39,33.51
Vilagarcía de Arousa,Bamio (San Xens),107.124,32.148,17.554,16.792,14.595,27.335,30.01,15.68,25.52
Catoira,Abalo (San Mamede),65.943,23.381,17.534,16.518,5.847,20.742,35.46,25.05,31.45
Gondomar,Vilaza (Santa María),69.766,25.531,18.622,16.495,6.909,21.486,36.6,23.64,30.8
A Guarda,Salcidos (San Lourenzo),119.692,31.765,19.273,16.489,12.492,25.514,26.54,13.78,21.32
Cambados,Castrelo (Santa Cruz),225.13,26.169,16.586,16.351,9.583,23.273,11.62,7.26,10.34
Crecente,Filgueira (San Pedro),49.472,37.832,31.746,16.342,6.086,20.738,76.47,33.03,41.92
Poio,Poio (San Salvador),81.063,25.442,16.565,16.275,8.877,22.688,31.39,20.08,27.99
Sanxenxo,Nantes (Santa Baia),99.464,26.724,18.297,16.248,8.427,22.336,26.87,16.34,22.46
A Lama,Gaxate (San Pedro),43.234,30.32,27.787,16.704,2.532,16.809,70.13,38.64,38.88
Redondela,Vilar de Infesta (San Martiño),106.006,33.362,17.941,22.758,15.421,23.547,31.47,21.47,22.21
A Cañiza,Petán (San Xián),123.143,45.186,30.064,16.111,15.122,27.035,36.69,13.08,21.95
Caldas de Reis,San Clemente de Cesar (San Clemente),97.592,25.538,19.412,15.975,6.126,20.4,26.17,16.37,20.9
A Estrada,Berres (San Vicenzo),107.056,40.346,24.735,15.836,15.611,27.113,37.69,14.79,25.33
Barro,Portela (San Mamede),73.073,22.541,17.437,15.784,5.104,19.471,30.85,21.6,26.65
Cotobade,Borela (San Martiño),68.403,37.673,30.701,16.159,6.972,19.939,55.07,23.62,29.15
Ponteareas,Bugarín (Santa Cristina),64.485,22.356,15.571,19.29,6.784,19.591,34.67,29.91,30.38
Ponteareas,Pías (Santa Mariña),99.915,33.903,18.62,21.922,15.282,22.824,33.93,21.94,22.84
A Estrada,Arnois (San Xiao),94.776,31.144,21.014,15.21,10.131,22.528,32.86,16.05,23.77
O Porriño,O Porriño (Santa María),33.93,18.615,15.166,15.212,3.449,17.671,54.86,44.83,52.08
Salceda de Caselas,San Xurxo de Salceda (San Xurxo),40.647,17.832,15.153,15.284,2.679,17.124,43.87,37.6,42.13
Sanxenxo,Padriñán (San Xenxo),84.139,24.609,16.561,15.137,8.047,20.951,29.25,17.99,24.9
Mondariz,Vilasobroso (San Martiño),53.062,30.484,23.562,17.225,6.922,17.594,57.45,32.46,33.16
Portas,Romai (San Xián),131.614,33.922,17.759,24.28,16.163,29.332,25.77,18.45,22.29
Tomiño,Taborda (San Miguel),41.154,19.514,15.342,15.096,4.172,18.11,47.42,36.68,44.01
Arbo,Arbo (Santa María),143.409,31.863,20.734,15.297,11.13,23.141,22.22,10.67,16.14
Covelo,Covelo (Santa Mariña),65.216,35.172,23.773,15.558,11.398,19.353,53.93,23.86,29.68
Ponte Caldelas,A Insua (Santa Mariña),114.709,31.665,23.326,15.457,8.338,20.04,27.6,13.48,17.47
Tui,Baldráns (Santiago),51.461,22.459,16.642,14.902,5.817,19.105,43.64,28.96,37.13
Mos,Guizán (Santa María),62.83,20.62,15.332,17.749,5.287,17.98,32.82,28.25,28.62
Ponteareas,Ponteareas (San Miguel),91.011,31.351,17.625,17.114,13.726,24.951,34.45,18.8,27.42
Redondela,O Viso (Santa María),154.916,39.801,15.414,14.574,24.387,32.191,25.69,9.41,20.78
Redondela,Trasmañó (San Vicente),84.488,28.857,17.274,14.342,11.583,22.71,34.16,16.98,26.88
Salvaterra de Miño,Soutolobre (Santa Comba),40.599,21.816,18.229,14.33,3.587,16.922,53.73,35.3,41.68
Campo Lameiro,Fragas (Santa Mariña),97.406,30.63,15.177,14.266,15.453,25.429,31.45,14.65,26.11
Redondela,Saxamonde (San Román),89.966,30.658,16.259,16.824,14.398,17.614,34.08,18.7,19.58
A Lama,A Lama (San Salvador),80.917,37.108,27.318,15.255,9.79,15.825,45.86,18.85,19.56
Covelo,Santiago de Covelo (Santiago),63.557,35.843,26.667,16.034,9.175,16.511,56.39,25.23,25.98
Ponteareas,Angoares (San Pedro),46.556,21.665,17.195,14.153,4.47,17.383,46.53,30.4,37.34
Cerdedo,Cerdedo (San Xoán),98.311,38.522,28.541,16.932,9.98,20.733,39.18,17.22,21.09
Salvaterra de Miño,Pesqueiras (Santa Mariña),47.375,21.882,15.899,13.993,5.982,18.315,46.19,29.54,38.66
Meis,San Martiño de Meis (San Martiño),69.882,20.49,16.077,13.92,4.412,17.107,29.32,19.92,24.48
Mos,Pereiras (San Miguel),71.782,24.12,14.788,13.87,9.333,20.612,33.6,19.32,28.71
Salceda de Caselas,A Picoña (San Martiño),44.576,19.328,13.776,13.776,5.551,17.787,43.36,30.9,39.9
Gondomar,Borreiros (San Martiño),73.482,25.032,15.538,13.734,9.494,20.593,34.07,18.69,28.02
Pazos de Borbén,Borbén (Santiago),51.522,22.747,15.892,13.6,6.855,16.734,44.15,26.4,32.48
Vilagarcía de Arousa,Cornazo (San Pedro),71.447,22.28,13.583,13.575,8.696,19.857,31.18,19.0,27.79
Vilagarcía de Arousa,Rubiáns (Santa María),90.437,27.059,13.87,13.563,13.188,23.09,29.92,15.0,25.53
Ponteareas,Celeiros (San Fins),58.331,24.339,16.041,13.558,8.298,19.552,41.73,23.24,33.52
