nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
547,4688,0.0,2.330881651881872,2.330881651881872,Fornelos de Montes,As Estacas (Santa María),2,PNOA-2024-GAL-547-4688-H29-NPC01.LAZ
542,4693,2.3209725511864865,0.0,2.3209725511864865,Ponte Caldelas,Ponte Caldelas (Santa Eulalia),2,PNOA-2024-GAL-542-4693-H29-NPC01.LAZ
535,4683,2.3197966004778894,0.0,2.3197966004778894,Redondela,Reboreda (Santa María),1,PNOA-2024-GAL-535-4683-H29-NPC01.LAZ
511,4651,0.0,2.3150604342266012,2.3150604342266012,Oia,Burgueira (San Pedro),1,PNOA-2024-GAL-511-4651-H29-NPC01.LAZ
556,4671,0.0,2.2940483442757804,2.2940483442757804,A Cañiza,Parada das Achas (Santiago),1,PNOA-2024-GAL-556-4671-H29-NPC01.LAZ
517,4684,2.290913930798667,0.0,2.290913930798667,Cangas,Aldán (San Cibrán),1,PNOA-2024-GAL-517-4684-H29-NPC01.LAZ
534,4681,1.5959707516978985,0.6931270139448684,2.289097765642767,Redondela,Reboreda (Santa María),1,PNOA-2024-GAL-534-4681-H29-NPC01.LAZ
552,4722,0.0,2.282954031508989,2.282954031508989,Forcarei,Meavía (San Xoán),1,PNOA-2024-GAL-552-4722-H29-NPC01.LAZ
518,4649,0.0,2.276748305318983,2.276748305318983,Tomiño,Tomiño (Santa María),2,PNOA-2024-GAL-518-4649-H29-NPC01.LAZ
550,4677,0.6253933357831827,1.6497108355611385,2.275104171344321,Covelo,Casteláns (Santo Estevo),1,PNOA-2024-GAL-550-4677-H29-NPC01.LAZ
536,4666,1.3134822629600245,0.9602362431228895,2.273718506082914,Salceda de Caselas,A Picoña (San Martiño),2,PNOA-2024-GAL-536-4666-H29-NPC01.LAZ
520,4722,0.0,2.2656924674646017,2.2656924674646017,Vilagarcía de Arousa,Bamio (San Xens),2,PNOA-2024-GAL-520-4722-H29-NPC01.LAZ
