nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
580,4834,5.4909013907000706,26.02755571612547,31.51845710682554,Cedeira,San Román de Montoxo (San Román),1,PNOA-2024-GAL-580-4834-H29-NPC01.LAZ
524,4779,4.345127344778474,27.16837323626409,31.513500581042564,Coristanco,Erbecedo (San Salvador),1,PNOA-2024-GAL-524-4779-H29-NPC01.LAZ
496,4774,3.6594886804787197,27.829466727003847,31.488955407482567,Vimianzo,Vimianzo (San Vicenzo),1,PNOA-2024-GAL-496-4774-H29-NPC01.LAZ
535,4795,10.352885823656473,21.118988357733233,31.47187418138971,Arteixo,Chamín (Santaia),1,PNOA-2024-GAL-535-4795-H29-NPC01.LAZ
596,4841,9.129692319707916,22.285243621072205,31.41493594078012,Ortigueira,Espasante (San Xoán),1,PNOA-2024-GAL-596-4841-H29-NPC01.LAZ
560,4764,6.14925197999303,25.26177087017524,31.411022850168273,Frades,Gafoi (Santa Mariña),3,PNOA-2024-GAL-560-4764-H29-NPC01.LAZ
556,4795,14.339332379773063,17.031138350379816,31.37047073015288,Cambre,Cecebre (San Salvador),2,PNOA-2024-GAL-556-4795-H29-NPC01.LAZ
593,4837,8.969602210951654,22.129303970828083,31.09890618177974,Ortigueira,Cuíña (Santiago),2,PNOA-2024-GAL-593-4837-H29-NPC01.LAZ
557,4795,21.029134006733933,9.981167336252511,31.010301342986445,Cambre,Cecebre (San Salvador),2,PNOA-2024-GAL-557-4795-H29-NPC01.LAZ
536,4790,3.8624894517558146,27.137120537857555,30.99960998961337,Arteixo,Larín (Santo Estevo),2,PNOA-2024-GAL-536-4790-H29-NPC01.LAZ
539,4797,10.861240634179365,20.10196604832936,30.963206682508726,Arteixo,Arteixo (Santiago),2,PNOA-2024-GAL-539-4797-H29-NPC01.LAZ
502,4715,12.72684765674292,18.205166414669954,30.932014071412873,Ribeira,Palmeira (San Pedro),1,PNOA-2024-GAL-502-4715-H29-NPC01.LAZ
538,4746,8.353923399500742,22.451699465465925,30.805622864966665,Santiago de Compostela,Santiago de Compostela,3,PNOA-2024-GAL-538-4746-H29-NPC01.LAZ
593,4836,18.64796802703303,12.125598685883308,30.773566712916338,Ortigueira,Cuíña (Santiago),2,PNOA-2024-GAL-593-4836-H29-NPC01.LAZ
515,4723,17.097824674848685,13.635272475409103,30.733097150257787,Rianxo,Rianxo (Santa Comba),1,PNOA-2024-GAL-515-4723-H29-NPC01.LAZ
551,4760,0.0,30.7077103233697,30.7077103233697,Oroso,Senra (Santa Eulalia),1,PNOA-2024-GAL-551-4760-H29-NPC01.LAZ
563,4792,11.173185768255085,19.51821679104601,30.691402559301096,Betanzos,Requián (Santiago),3,PNOA-2024-GAL-563-4792-H29-NPC01.LAZ
518,4727,24.558570101983584,6.041129931115368,30.59970003309895,Rianxo,Asados (Santa María),2,PNOA-2024-GAL-518-4727-H29-NPC01.LAZ
534,4747,11.44161711612625,19.116289592385716,30.557906708511965,Santiago de Compostela,Laraño (San Martiño),4,PNOA-2024-GAL-534-4747-H29-NPC01.LAZ
548,4771,2.9751257702327156,27.574648402357617,30.549774172590332,Ordes,Ordes (Santa María),2,PNOA-2024-GAL-548-4771-H29-NPC01.LAZ
509,4736,4.135218910568957,26.38198757907223,30.51720648964119,Noia,Argalo (Santa María),3,PNOA-2024-GAL-509-4736-H29-NPC01.LAZ
534,4742,0.0,30.498756741858863,30.498756741858863,Teo,Calo (San Xoán),1,PNOA-2024-GAL-534-4742-H29-NPC01.LAZ
510,4721,15.086593182872589,15.41104186333776,30.49763504621035,Boiro,Abanqueiro (San Cristovo),2,PNOA-2024-GAL-510-4721-H29-NPC01.LAZ
551,4793,7.039728868733215,23.354813276898685,30.394542145631902,Cambre,Sigrás (Santiago),2,PNOA-2024-GAL-551-4793-H29-NPC01.LAZ
592,4838,5.162048705786708,25.178850109839576,30.340898815626282,Ortigueira,Ortigueira (Santa Marta),4,PNOA-2024-GAL-592-4838-H29-NPC01.LAZ
516,4785,4.712002191424139,25.612738178002346,30.324740369426486,Coristanco,Cereo (Santa María),1,PNOA-2024-GAL-516-4785-H29-NPC01.LAZ
497,4716,7.456175890900455,22.85892567404123,30.315101564941685,Ribeira,Olveira (Santa María),1,PNOA-2024-GAL-497-4716-H29-NPC01.LAZ
593,4813,26.33717947391817,3.955817525008402,30.292996998926572,As Pontes de García Rodríguez,As Pontes de García Rodríguez (Santa María),1,PNOA-2024-GAL-593-4813-H29-NPC01.LAZ
535,4793,14.643127008208902,15.504883616966458,30.14801062517536,Arteixo,Armentón (San Pedro),2,PNOA-2024-GAL-535-4793-H29-NPC01.LAZ
554,4787,0.0,30.13044670574942,30.13044670574942,Carral,Cañás (Santa Baia),3,PNOA-2024-GAL-554-4787-H29-NPC01.LAZ
577,4838,10.553549983987102,19.49800789761238,30.05155788159948,Cedeira,Cervo (Santalla),2,PNOA-2024-GAL-577-4838-H29-NPC01.LAZ
580,4753,6.739376808299498,23.309428793233284,30.04880560153278,Melide,Os Ánxeles (Santa María),3,PNOA-2024-GAL-580-4753-H29-NPC01.LAZ
565,4785,10.067893455162015,19.953645637092936,30.02153909225495,Oza dos Ríos,Salto (San Tomé),2,PNOA-2024-GAL-565-4785-H29-NPC01.LAZ
508,4736,2.731223445137765,27.26583890462442,29.997062349762185,Noia,Argalo (Santa María),3,PNOA-2024-GAL-508-4736-H29-NPC01.LAZ
559,4791,0.0,29.996493346097004,29.996493346097004,Abegondo,Crendes (San Pedro),1,PNOA-2024-GAL-559-4791-H29-NPC01.LAZ
579,4753,10.84941796892323,19.022238586676018,29.871656555599248,Melide,San Cibrao (San Xoán),3,PNOA-2024-GAL-579-4753-H29-NPC01.LAZ
515,4724,17.804356779958724,11.98656740823931,29.790924188198034,Rianxo,Rianxo (Santa Comba),3,PNOA-2024-GAL-515-4724-H29-NPC01.LAZ
511,4723,4.7105822018258925,25.077213147324503,29.787795349150397,Boiro,Cespón (San Vicenzo),3,PNOA-2024-GAL-511-4723-H29-NPC01.LAZ
561,4764,2.0242616164948113,27.758373209770056,29.782634826264868,Frades,Ledoira (San Martiño),2,PNOA-2024-GAL-561-4764-H29-NPC01.LAZ
581,4752,13.94683752670759,15.829485239361647,29.776322766069235,Melide,Melide (San Pedro),2,PNOA-2024-GAL-581-4752-H29-NPC01.LAZ
592,4836,18.05675536911993,11.713538080822026,29.770293449941956,Ortigueira,Senra (San Xulián),1,PNOA-2024-GAL-592-4836-H29-NPC01.LAZ
582,4834,2.3881337077710048,27.325774114593553,29.713907822364558,Cedeira,Montoxo (San Xiao),1,PNOA-2024-GAL-582-4834-H29-NPC01.LAZ
538,4796,6.814634595568681,22.886373315136577,29.701007910705258,Arteixo,Arteixo (Santiago),1,PNOA-2024-GAL-538-4796-H29-NPC01.LAZ
578,4750,29.635931946981223,0.0,29.635931946981223,Melide,San Cosme de Abeancos (San Cosme),3,PNOA-2024-GAL-578-4750-H29-NPC01.LAZ
529,4739,11.81426360630917,17.811195823076773,29.62545942938594,Padrón,Cruces (Santa María),1,PNOA-2024-GAL-529-4739-H29-NPC01.LAZ
572,4818,13.764637411803001,15.834697431733586,29.59933484353659,Neda,Anca (San Pedro),1,PNOA-2024-GAL-572-4818-H29-NPC01.LAZ
504,4785,4.138719586633436,25.452629465847455,29.59134905248089,Cabana de Bergantiños,Cánduas (San Martiño),1,PNOA-2024-GAL-504-4785-H29-NPC01.LAZ
564,4803,12.228164456913174,17.28766451310902,29.515828970022195,Miño,Vilanova (San Xoán),2,PNOA-2024-GAL-564-4803-H29-NPC01.LAZ
497,4709,20.523215239807033,8.969959326243728,29.49317456605076,Ribeira,Aguiño (Nosa Señora do Carme),2,PNOA-2024-GAL-497-4709-H29-NPC01.LAZ
577,4753,21.693862689300715,7.794637348340968,29.488500037641685,Melide,O Barreiro (San Mamede),2,PNOA-2024-GAL-577-4753-H29-NPC01.LAZ
497,4760,0.0,29.484820397028344,29.484820397028344,Dumbría,Olveira (San Martiño),1,PNOA-2024-GAL-497-4760-H29-NPC01.LAZ
593,4838,16.571489812005495,12.797612170663825,29.36910198266932,Ortigueira,Luía (Santa María),2,PNOA-2024-GAL-593-4838-H29-NPC01.LAZ
531,4742,0.28793213614676466,29.080600716513754,29.36853285266052,Teo,Calo (San Xoán),3,PNOA-2024-GAL-531-4742-H29-NPC01.LAZ
563,4786,18.349170774343527,11.009829294910231,29.35900006925376,Oza dos Ríos,Cis (San Nicolao),2,PNOA-2024-GAL-563-4786-H29-NPC01.LAZ
500,4711,8.009542032999839,21.274241887427966,29.283783920427805,Ribeira,Ribeira (Santa Uxía),2,PNOA-2024-GAL-500-4711-H29-NPC01.LAZ
568,4755,4.104221609831868,25.16442478835654,29.26864639818841,Arzúa,Santa María da Arzúa (Santa María),1,PNOA-2024-GAL-568-4755-H29-NPC01.LAZ
510,4738,0.3756769070402029,28.86041277029795,29.23608967733815,Noia,Barro (Santa Cristina),2,PNOA-2024-GAL-510-4738-H29-NPC01.LAZ
556,4789,0.0,29.233689540231175,29.233689540231175,Carral,Vigo (San Vicente),1,PNOA-2024-GAL-556-4789-H29-NPC01.LAZ
539,4745,12.913283903512452,16.2234078409752,29.13669174448765,Santiago de Compostela,O Eixo (San Cristovo),2,PNOA-2024-GAL-539-4745-H29-NPC01.LAZ
